report_year,stateabbr,statedesc,locationname,fips_code,totalpopulation,geolocation,bphigh_pct,chd_pct,checkup_pct,smoking_pct,diabetes_pct,kidney_pct,lpa_pct,mhlth_pct,obesity_pct,sleep_pct,county_year_id,diabetes_pct_lag1,obesity_pct_lag1,bphigh_pct_lag1,lpa_pct_lag1,smoking_pct_lag1,checkup_pct_lag1,chd_pct_lag1,kidney_pct_lag1,sleep_pct_lag1,mhlth_pct_lag1,diabetes_pct_yoy_change,obesity_pct_yoy_change,diabetes_pct_rolling3,obesity_pct_rolling3,bphigh_pct_rolling3,lpa_pct_rolling3,smoking_pct_rolling3,checkup_pct_rolling3,chd_pct_rolling3,kidney_pct_rolling3,sleep_pct_rolling3,mhlth_pct_rolling3,diabetes_rank,diabetes_next_year,top_quintile_threshold,target_top_quintile_next_year
2020,DE,Delaware,Kent,10001.0,183643,POINT (-75.5029819 39.0970884),,7.3,77.3,19.1,13.0,3.4,28.4,14.2,38.7,,10001.0_2020,13.2,40.8,,31.2,18.1,81.2,6.8,3.4,,15.4,-0.1999999999999993,-2.0999999999999943,13.1,39.75,,29.799999999999997,18.6,79.25,7.05,3.4,,14.8,1266.0,12.6,14.860000000000037,0
2021,DE,Delaware,Kent,10001.0,184149,POINT (-75.5029819 39.0970884),,6.8,75.1,17.2,12.6,3.5,30.3,15.8,40.9,,10001.0_2021,13.0,38.7,,28.4,19.1,77.3,7.3,3.4,,14.2,-0.40000000000000036,2.1999999999999957,12.933333333333332,40.13333333333333,,29.96666666666667,18.133333333333336,77.86666666666666,6.966666666666666,3.4333333333333336,,15.133333333333333,1475.0,12.8,14.9,0
2022,DE,Delaware,Kent,10001.0,186946,POINT (-75.5682629704417 39.0863622587062),,6.6,78.5,14.6,12.8,,25.9,16.4,38.9,,10001.0_2022,12.6,40.9,,30.3,17.2,75.1,6.8,3.5,,15.8,0.20000000000000107,-2.0,12.799999999999999,39.5,,28.2,16.966666666666665,76.96666666666665,6.8999999999999995,3.45,,15.466666666666667,1766.0,14.3,15.7,0
2020,DE,Delaware,New Castle,10003.0,561531,POINT (-75.6441324 39.5759152),,6.2,75.1,14.5,11.4,3.0,23.4,13.0,33.7,,10003.0_2020,11.3,33.0,,27.0,15.2,79.6,5.6,3.0,,13.2,0.09999999999999964,0.7000000000000028,11.350000000000001,33.35,,25.2,14.85,77.35,5.9,3.0,,13.1,2106.0,11.4,14.860000000000037,0
2021,DE,Delaware,New Castle,10003.0,571708,POINT (-75.6441324 39.5759152),,5.6,75.0,13.6,11.4,3.1,25.1,13.8,34.7,,10003.0_2021,11.4,33.7,,23.4,14.5,75.1,6.2,3.0,,13.0,0.0,1.0,11.366666666666667,33.800000000000004,,25.166666666666668,14.433333333333332,76.56666666666666,5.8,3.033333333333333,,13.333333333333334,2118.0,13.1,14.9,0
2022,DE,Delaware,New Castle,10003.0,575494,POINT (-75.647957543666 39.5816046675309),,6.2,77.1,14.0,13.1,,23.1,15.3,37.7,,10003.0_2022,11.4,34.7,,25.1,13.6,75.0,5.6,3.1,,13.8,1.6999999999999993,3.0,11.966666666666667,35.36666666666667,,23.866666666666664,14.033333333333333,75.73333333333333,6.0,3.05,,14.033333333333333,1600.0,12.2,15.7,0
2020,DE,Delaware,Sussex,10005.0,241635,POINT (-75.3370237 38.6732275),,9.6,80.3,14.9,13.1,3.9,27.8,11.9,36.8,,10005.0_2020,14.1,35.3,,28.5,16.1,81.8,9.1,3.8,,12.9,-1.0,1.5,13.6,36.05,,28.15,15.5,81.05,9.35,3.8499999999999996,,12.4,1221.0,13.7,14.860000000000037,0
2021,DE,Delaware,Sussex,10005.0,247527,POINT (-75.3370237 38.6732275),,8.9,80.2,13.8,13.7,4.0,28.8,12.6,34.8,,10005.0_2021,13.1,36.8,,27.8,14.9,80.3,9.6,3.9,,11.9,0.5999999999999996,-2.0,13.633333333333333,35.63333333333333,,28.366666666666664,14.933333333333335,80.76666666666667,9.200000000000001,3.9,,12.466666666666667,973.0,14.2,14.9,0
2022,DE,Delaware,Sussex,10005.0,255956,POINT (-75.3899993656017 38.6607348167294),,9.5,82.7,13.7,14.2,,24.2,14.0,38.0,,10005.0_2022,13.7,34.8,,28.8,13.8,80.2,8.9,4.0,,12.6,0.5,3.200000000000003,13.666666666666666,36.53333333333333,,26.933333333333334,14.133333333333333,81.06666666666666,9.333333333333334,3.9499999999999997,,12.833333333333334,1120.0,14.2,15.7,0
2020,AL,Alabama,Autauga,1001.0,56145,POINT (-86.6464395 32.5322367),,7.3,75.7,18.0,12.1,3.2,27.2,15.6,37.6,,1001.0_2020,12.7,35.6,,32.8,19.3,78.3,7.0,3.2,,16.5,-0.5999999999999996,2.0,12.399999999999999,36.6,,30.0,18.65,77.0,7.15,3.2,,16.05,1711.0,12.3,14.860000000000037,0
2021,AL,Alabama,Autauga,1001.0,59095,POINT (-86.6464395 32.5322367),,6.7,77.5,16.8,12.3,3.2,30.0,17.1,39.3,,1001.0_2021,12.1,37.6,,27.2,18.0,75.7,7.3,3.2,,15.6,0.20000000000000107,1.6999999999999957,12.366666666666667,37.5,,30.0,18.033333333333335,77.16666666666667,7.0,3.2,,16.400000000000002,1622.0,13.0,14.9,0
