fips_code,locationname,stateabbr,current_diabetes_pct,trend,projected_2025_pct,risk_probability,high_risk,top_factors
1063.0,Greene,AL,24.9,Decreasing,24.8,0.9999999999984963,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
48377.0,Presidio,TX,24.3,Stable,23.1,0.9999999999971161,1,"3-year diabetes trend, Prior year diabetes rate, Physical inactivity"
48127.0,Dimmit,TX,23.7,Increasing,24.8,0.9999999999580169,1,"3-year diabetes trend, Prior year diabetes rate, Physical inactivity"
13243.0,Randolph,GA,23.6,Decreasing,23.6,0.9999999999469185,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
22107.0,Tensas,LA,24.6,Increasing,25.4,0.9999999999328217,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
28053.0,Humphreys,MS,23.7,Stable,24.4,0.9999999998241649,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
28125.0,Sharkey,MS,24.1,Increasing,26.6,0.9999999990967667,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
1131.0,Wilcox,AL,23.1,Increasing,24.6,0.9999999989022768,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
1105.0,Perry,AL,22.0,Stable,22.0,0.9999999986217816,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
22035.0,East Carroll,LA,21.1,Decreasing,19.7,0.9999999977008209,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
1085.0,Lowndes,AL,22.7,Increasing,23.6,0.9999999973809739,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
48261.0,Kenedy,TX,26.0,Increasing,34.7,0.9999999962829369,1,"3-year diabetes trend, Smoking rate, Physical inactivity"
28051.0,Holmes,MS,21.7,Decreasing,21.9,0.999999995377254,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
54047.0,McDowell,WV,22.8,Increasing,23.8,0.9999999950560412,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
48137.0,Edwards,TX,22.8,Increasing,24.0,0.9999999942494255,1,"3-year diabetes trend, Prior year diabetes rate, Physical inactivity"
1011.0,Bullock,AL,22.4,Increasing,23.9,0.9999999921230177,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
28119.0,Quitman,MS,21.6,Decreasing,22.2,0.9999999896336919,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
5107.0,Phillips,AR,22.2,Increasing,24.1,0.9999999891542212,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
48247.0,Jim Hogg,TX,21.8,Increasing,22.9,0.9999999853921151,1,"3-year diabetes trend, Prior year diabetes rate, Physical inactivity"
48505.0,Zapata,TX,22.0,Increasing,24.1,0.9999999845650243,1,"3-year diabetes trend, Physical inactivity, Prior year diabetes rate"
48507.0,Zavala,TX,21.0,Increasing,21.3,0.9999999822087696,1,"3-year diabetes trend, Prior year diabetes rate, Physical inactivity"
5017.0,Chicot,AR,22.0,Increasing,23.4,0.9999999697533779,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
48047.0,Brooks,TX,20.1,Decreasing,19.0,0.9999999685494162,1,"3-year diabetes trend, Prior year diabetes rate, Physical inactivity"
13141.0,Hancock,GA,21.1,Decreasing,20.8,0.9999999618243122,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
28063.0,Jefferson,MS,22.1,Increasing,24.0,0.9999999587291862,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
28027.0,Coahoma,MS,21.7,Stable,23.3,0.9999999584762875,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
1047.0,Dallas,AL,21.4,Increasing,22.5,0.9999999553064425,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
48427.0,Starr,TX,20.5,Increasing,21.6,0.9999999295678633,1,"3-year diabetes trend, Physical inactivity, Prior year diabetes rate"
48109.0,Culberson,TX,20.3,Stable,19.9,0.999999905900472,1,"3-year diabetes trend, Prior year diabetes rate, Physical inactivity"
13061.0,Clay,GA,19.4,Decreasing,17.2,0.9999998907101411,1,"3-year diabetes trend, Prior year diabetes rate, Physical inactivity"
13265.0,Taliaferro,GA,20.2,Decreasing,18.7,0.9999998810152047,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
22027.0,Claiborne,LA,21.5,Increasing,22.6,0.9999998656209975,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
51595.0,Emporia,VA,20.2,Stable,19.7,0.9999998486475965,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
5041.0,Desha,AR,21.5,Increasing,23.3,0.9999998359124268,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
1087.0,Macon,AL,20.2,Increasing,20.8,0.9999997732388183,1,"3-year diabetes trend, Prior year diabetes rate, Physical inactivity"
13239.0,Quitman,GA,20.9,Stable,21.7,0.9999997722351125,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
22065.0,Madison,LA,21.3,Increasing,23.1,0.9999997195606003,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
5073.0,Lafayette,AR,21.2,Increasing,23.1,0.9999997077012988,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
48243.0,Jeff Davis,TX,21.1,Increasing,21.9,0.9999996696445413,1,"3-year diabetes trend, Prior year diabetes rate, Physical inactivity"
22013.0,Bienville,LA,20.4,Stable,20.9,0.999999650171979,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
1035.0,Conecuh,AL,20.4,Increasing,21.2,0.9999995313707819,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
13007.0,Baker,GA,19.9,Decreasing,20.0,0.999999468656713,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
28097.0,Montgomery,MS,20.8,Increasing,22.5,0.9999994492617474,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
48061.0,Cameron,TX,20.5,Increasing,22.6,0.999999428037957,1,"3-year diabetes trend, Physical inactivity, Prior year diabetes rate"
13273.0,Terrell,GA,19.6,Decreasing,19.4,0.9999994083951445,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
13263.0,Talbot,GA,19.8,Decreasing,19.5,0.9999993798898772,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
45005.0,Allendale,SC,19.9,Decreasing,19.3,0.9999992878755803,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
1119.0,Sumter,AL,18.7,Decreasing,18.2,0.9999992579371757,1,"3-year diabetes trend, Prior year diabetes rate, Physical inactivity"
13193.0,Macon,GA,20.3,Increasing,21.0,0.9999992193527477,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
1023.0,Choctaw,AL,20.3,Increasing,21.9,0.9999991080580821,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
28083.0,Leflore,MS,20.6,Increasing,22.6,0.9999990220284797,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
28021.0,Claiborne,MS,19.6,Stable,20.7,0.9999989995041074,1,"3-year diabetes trend, Prior year diabetes rate, Physical inactivity"
48385.0,Real,TX,20.4,Increasing,21.5,0.9999989335048901,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
47075.0,Haywood,TN,20.3,Increasing,21.2,0.9999987991731769,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
54013.0,Calhoun,WV,20.1,Increasing,21.7,0.9999985967499281,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
5095.0,Monroe,AR,20.7,Increasing,22.4,0.9999985814325221,1,"3-year diabetes trend, Smoking rate, Physical inactivity"
1065.0,Hale,AL,19.3,Stable,19.3,0.9999985146713648,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
28005.0,Amite,MS,20.5,Stable,22.0,0.9999984968286844,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
28143.0,Tunica,MS,19.8,Stable,21.0,0.9999984025030095,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
28157.0,Wilkinson,MS,20.0,Stable,21.1,0.9999979132015444,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
28065.0,Jefferson Davis,MS,20.2,Stable,21.3,0.9999977215810116,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
48489.0,Willacy,TX,19.5,Increasing,20.9,0.9999976572118687,1,"3-year diabetes trend, Physical inactivity, Prior year diabetes rate"
28103.0,Noxubee,MS,19.5,Stable,19.9,0.9999975082732909,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
5077.0,Lee,AR,20.0,Increasing,21.1,0.9999975070000988,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
48079.0,Cochran,TX,19.2,Stable,20.0,0.9999974370785386,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
48405.0,San Augustine,TX,20.1,Increasing,21.2,0.9999972444545251,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
37131.0,Northampton,NC,20.0,Decreasing,20.6,0.9999971964233906,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
13301.0,Warren,GA,18.6,Decreasing,17.5,0.9999967839917262,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
22067.0,Morehouse,LA,19.1,Stable,19.4,0.9999965907183509,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
48045.0,Briscoe,TX,20.8,Increasing,23.6,0.9999964639701,1,"3-year diabetes trend, Smoking rate, Physical inactivity"
45067.0,Marion,SC,19.7,Stable,20.3,0.9999964419516237,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
48311.0,McMullen,TX,20.0,Increasing,21.7,0.9999964412309342,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
48101.0,Cottle,TX,19.6,Increasing,20.3,0.9999960573815229,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
48215.0,Hidalgo,TX,18.5,Increasing,18.7,0.9999958863553663,1,"3-year diabetes trend, Physical inactivity, Prior year diabetes rate"
13307.0,Webster,GA,19.2,Stable,19.7,0.9999958736712399,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
48323.0,Maverick,TX,19.2,Increasing,20.1,0.999995867561463,1,"3-year diabetes trend, Physical inactivity, Prior year diabetes rate"
4001.0,Apache,AZ,20.1,Increasing,21.4,0.9999957595492949,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
28001.0,Adams,MS,20.0,Increasing,21.5,0.9999951589697307,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
51590.0,Danville,VA,20.0,Increasing,21.7,0.9999949216675801,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
48131.0,Duval,TX,18.6,Stable,18.8,0.999994310229618,1,"3-year diabetes trend, Prior year diabetes rate, Physical inactivity"
45089.0,Williamsburg,SC,18.0,Decreasing,16.7,0.9999940198419723,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
54059.0,Mingo,WV,19.3,Increasing,20.2,0.9999936351902466,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
22119.0,Webster,LA,19.0,Stable,19.5,0.9999927667342158,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
45039.0,Fairfield,SC,19.6,Stable,20.3,0.9999925854681436,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
13269.0,Taylor,GA,18.5,Decreasing,18.0,0.9999914562690949,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
1091.0,Marengo,AL,19.1,Increasing,20.1,0.9999912585834384,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
28151.0,Washington,MS,19.0,Stable,19.2,0.9999910924383236,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
54075.0,Pocahontas,WV,19.5,Increasing,20.9,0.9999902081582843,1,"3-year diabetes trend, Smoking rate, Physical inactivity"
1005.0,Barbour,AL,18.9,Stable,19.4,0.9999901925639151,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
1099.0,Monroe,AL,19.0,Stable,19.8,0.9999901074397548,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
45069.0,Marlboro,SC,18.7,Decreasing,18.2,0.9999895318838952,1,"3-year diabetes trend, Smoking rate, Prior year diabetes rate"
37015.0,Bertie,NC,19.0,Decreasing,19.0,0.9999890256411479,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
37185.0,Warren,NC,19.1,Decreasing,19.5,0.999987467036405,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
51730.0,Petersburg,VA,18.8,Stable,19.0,0.9999870325503227,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
37187.0,Washington,NC,18.9,Decreasing,19.1,0.999986389874759,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
35033.0,Mora,NM,19.0,Stable,19.5,0.9999842943429378,1,"3-year diabetes trend, Prior year diabetes rate, Physical inactivity"
37083.0,Halifax,NC,18.6,Decreasing,18.4,0.9999842643178197,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
35003.0,Catron,NM,19.0,Decreasing,18.5,0.9999840786072001,1,"3-year diabetes trend, Prior year diabetes rate, Smoking rate"
54109.0,Wyoming,WV,19.3,Increasing,21.4,0.9999816572044805,1,"3-year diabetes trend, Smoking rate, Physical inactivity"
