report_year,StateAbbr,StateDesc,LocationName,fips_code,TotalPopulation,Geolocation,bphigh_pct,chd_pct,checkup_pct,smoking_pct,diabetes_pct,lpa_pct,mhlth_pct,obesity_pct,sleep_pct,county_year_id
2022,AK,Alaska,Aleutians East,2013,"3,461",POINT (-161.964571410747 55.359979555826),,,,,,,,,42.8,2013_2022
2022,AK,Alaska,Aleutians West,2016,"5,160",POINT (-110.244912258458 52.7943036111183),,,,,,,,,40.2,2016_2022
2022,AK,Alaska,Anchorage,2020,"286,075",POINT (-149.112545841578 61.150482370682),,,,,,,,,34.6,2020_2022
2022,AK,Alaska,Bethel,2050,"18,224",POINT (-159.82324096097 60.9128860869079),,,,,,,,,41.9,2050_2022
2022,AK,Alaska,Bristol Bay,2060,844,POINT (-156.700132487576 58.7440261738219),,,,,,,,,37.0,2060_2022
2022,AK,Alaska,Chugach,2063,"6,769",POINT (-145.846670254475 60.7148095406379),,,,,,,,,34.4,2063_2022
2022,AK,Alaska,Copper River,2066,"2,674",POINT (-143.967989524598 61.8833837156363),,,,,,,,,35.4,2066_2022
2022,AK,Alaska,Denali,2068,"1,584",POINT (-150.011615254067 63.6714884543977),,,,,,,,,32.8,2068_2022
2022,AK,Alaska,Dillingham,2070,"4,607",POINT (-158.236178154164 59.7978171220014),,,,,,,,,37.8,2070_2022
2022,AK,Alaska,Fairbanks North Star,2090,"94,840",POINT (-146.565627734256 64.8075316814407),,,,,,,,,37.0,2090_2022
2022,AK,Alaska,Haines,2100,"2,070",POINT (-135.500167586106 59.119335495324),,,,,,,,,31.0,2100_2022
2022,AK,Alaska,Hoonah-Angoon,2105,"2,262",POINT (-135.641352469501 58.2866674624936),,,,,,,,,35.8,2105_2022
2022,AK,Alaska,Juneau,2110,"31,555",POINT (-134.172902838081 58.4491350384727),,,,,,,,,32.6,2110_2022
2022,AK,Alaska,Kenai Peninsula,2122,"61,223",POINT (-151.5538621838 60.2599690239553),,,,,,,,,29.4,2122_2022
2022,AK,Alaska,Ketchikan Gateway,2130,"13,738",POINT (-130.936350933263 55.586579401666),,,,,,,,,38.0,2130_2022
2022,AK,Alaska,Kodiak Island,2150,"12,565",POINT (-153.789812278338 57.6808874751479),,,,,,,,,38.5,2150_2022
2022,AK,Alaska,Kusilvak,2158,"8,001",POINT (-163.385871730467 62.1566155670538),,,,,,,,,45.9,2158_2022
2022,AK,Alaska,Lake and Peninsula,2164,"1,331",POINT (-156.194112811655 58.6489291768631),,,,,,,,,40.3,2164_2022
2022,AK,Alaska,Matanuska-Susitna,2170,"115,239",POINT (-149.573459107234 62.3154231338699),,,,,,,,,34.2,2170_2022
